ID,lat,,lon,,,Latitude,Longitude
41001,34.703,N,72.242,W,,34.703??N,72.242??W
41008,31.4,N,80.866,W,,31.4??N,80.866??W
41012,30.042,N,80.534,W,,30.042??N,80.534??W
41013,33.441,N,77.764,W,,33.441??N,77.764??W
41024,33.837,N,78.477,W,,33.837??N,78.477??W
41037,33.988,N,77.362,W,,33.988??N,77.362??W
41038,34.141,N,77.715,W,,34.141??N,77.715??W
41040,14.541,N,53.137,W,,14.541??N,53.137??W
41041,14.453,N,46.327,W,,14.453??N,46.327??W
41043,21.026,N,64.793,W,,21.026??N,64.793??W
41044,21.582,N,58.63,W,,21.582??N,58.63??W
41046,23.822,N,68.393,W,,23.822??N,68.393??W
41047,27.465,N,71.452,W,,27.465??N,71.452??W
41048,31.831,N,69.573,W,,31.831??N,69.573??W
41049,27.545,N,63.012,W,,27.545??N,63.012??W
41052,18.249,N,64.763,W,,18.249??N,64.763??W
42001,25.926,N,89.662,W,,25.926??N,89.662??W
42002,26.055,N,93.646,W,,26.055??N,93.646??W
42012,30.06,N,87.548,W,,30.06??N,87.548??W
42020,26.955,N,96.687,W,,26.955??N,96.687??W
42035,29.237,N,94.404,W,,29.237??N,94.404??W
42036,28.501,N,84.508,W,,28.501??N,84.508??W
42040,29.207,N,88.237,W,,29.207??N,88.237??W
42055,22.14,N,94.112,W,,22.14??N,94.112??W
42057,16.973,N,81.575,W,,16.973??N,81.575??W
42058,14.844,N,75.061,W,,14.844??N,75.061??W
42059,15.3,N,67.483,W,,15.3??N,67.483??W
42060,16.434,N,63.329,W,,16.434??N,63.329??W
42085,17.87,N,66.537,W,,17.87??N,66.537??W
44005,43.201,N,69.127,W,,43.201??N,69.127??W
44007,43.525,N,70.14,W,,43.525??N,70.14??W
44008,40.496,N,69.25,W,,40.496??N,69.25??W
44009,38.46,N,74.692,W,,38.46??N,74.692??W
44011,41.093,N,66.562,W,,41.093??N,66.562??W
44014,36.603,N,74.837,W,,36.603??N,74.837??W
44020,41.497,N,70.283,W,,41.497??N,70.283??W
44024,42.325,N,65.909,W,,42.325??N,65.909??W
44025,40.251,N,73.164,W,,40.251??N,73.164??W
44027,44.283,N,67.3,W,,44.283??N,67.3??W
44029,42.523,N,70.566,W,,42.523??N,70.566??W
44030,43.179,N,70.426,W,,43.179??N,70.426??W
44032,43.715,N,69.355,W,,43.715??N,69.355??W
44033,44.055,N,68.996,W,,44.055??N,68.996??W
44034,44.103,N,68.112,W,,44.103??N,68.112??W
44037,43.497,N,67.876,W,,43.497??N,67.876??W
44061,38.788,N,77.036,W,,38.788??N,77.036??W
44065,40.369,N,73.703,W,,40.369??N,73.703??W
44067,38.368,N,76.996,W,,38.368??N,76.996??W
46001,56.3,N,148.018,W,,56.3??N,148.018??W
46002,42.662,N,130.507,W??,,42.662??N,130.507??W
46006,40.764,N,137.377,W,,40.764??N,137.377??W
46011,34.936,N,120.998,W??,,34.936??N,120.998??W
46012,37.356,N,122.881,W,,37.356??N,122.881??W
46013,38.235,N,123.317,W,,38.235??N,123.317??W
46014,39.225,N,123.98,W??,,39.225??N,123.98??W
46022,40.748,N,124.527,W??,,40.748??N,124.527??W
46026,37.754,N,122.839,W??,,37.754??N,122.839??W
46027,41.84,N,124.382,W??,,41.84??N,124.382??W
46028,35.77,N,121.903,W,,35.77??N,121.903??W
46029,46.163,N,124.487,W,,46.163??N,124.487??W
46035,57.016,N,177.703,W??,,57.016??N,177.703??W
46041,47.352,N,124.739,W,,47.352??N,124.739??W
46042,36.785,N,122.396,W??,,36.785??N,122.396??W
46047,32.388,N,119.525,W,,32.388??N,119.525??W
46050,44.669,N,124.546,W,,44.669??N,124.546??W
46053,34.241,N,119.839,W,,34.241??N,119.839??W
46054,34.274,N,120.468,W,,34.274??N,120.468??W
46061,60.238,N,146.833,W,,60.238??N,146.833??W
46069,33.677,N,120.213,W,,33.677??N,120.213??W
46070,55.052,N,175.255,E,,55.052??N,175.255??E
46075,53.969,N,160.794,W,,53.969??N,160.794??W
46076,59.471,N,148.009,W,,59.471??N,148.009??W
46077,57.869,N,154.211,W,,57.869??N,154.211??W
46082,59.67,N,143.353,W,,59.67??N,143.353??W
46083,58.27,N,138.019,W??,,58.27??N,138.019??W
46086,32.499,N,118.052,W,,32.499??N,118.052??W
46088,48.332,N,123.179,W,,48.332??N,123.179??W
46089,45.936,N,125.793,W,,45.936??N,125.793??W
51000,23.528,N,153.792,W,,23.528??N,153.792??W
51002,17.042,N,157.746,W??,,17.042??N,157.746??W
51101,24.359,N,162.081,W,,24.359??N,162.081??W
